{'question_idx': 4, 'pred_final_answer': '13', 'true_final_answer': '10'}
{'question_idx': 154, 'pred_final_answer': '26000', 'true_final_answer': '14000'}
{'question_idx': 171, 'pred_final_answer': '6', 'true_final_answer': '3'}
{'question_idx': 174, 'pred_final_answer': '20', 'true_final_answer': '92'}
{'question_idx': 176, 'pred_final_answer': '100', 'true_final_answer': '94'}
{'question_idx': 179, 'pred_final_answer': '14', 'true_final_answer': '8'}
{'question_idx': 180, 'pred_final_answer': '4', 'true_final_answer': '5'}
{'question_idx': 183, 'pred_final_answer': '1', 'true_final_answer': '2'}
{'question_idx': 186, 'pred_final_answer': '51', 'true_final_answer': '35'}
{'question_idx': 187, 'pred_final_answer': '20', 'true_final_answer': '18'}
{'question_idx': 189, 'pred_final_answer': '6', 'true_final_answer': '10'}
{'question_idx': 194, 'pred_final_answer': '16', 'true_final_answer': '64'}
{'question_idx': 195, 'pred_final_answer': '50', 'true_final_answer': '25'}
{'question_idx': 201, 'pred_final_answer': '27', 'true_final_answer': '20'}
{'question_idx': 208, 'pred_final_answer': '100000', 'true_final_answer': '140000'}
{'question_idx': 218, 'pred_final_answer': '90', 'true_final_answer': '180'}
{'question_idx': 232, 'pred_final_answer': '5', 'true_final_answer': '4'}
{'question_idx': 237, 'pred_final_answer': '6', 'true_final_answer': '25'}
{'question_idx': 243, 'pred_final_answer': '1047', 'true_final_answer': '826'}
{'question_idx': 246, 'pred_final_answer': '400', 'true_final_answer': '500'}
{'question_idx': 254, 'pred_final_answer': '521', 'true_final_answer': '525'}
{'question_idx': 255, 'pred_final_answer': '15', 'true_final_answer': '13'}
{'question_idx': 257, 'pred_final_answer': '140', 'true_final_answer': '156'}
{'question_idx': 260, 'pred_final_answer': '99', 'true_final_answer': '66'}
{'question_idx': 267, 'pred_final_answer': '12', 'true_final_answer': '48'}
{'question_idx': 278, 'pred_final_answer': '16', 'true_final_answer': '12'}
{'question_idx': 279, 'pred_final_answer': '12', 'true_final_answer': '18'}
{'question_idx': 285, 'pred_final_answer': '167', 'true_final_answer': '16'}
{'question_idx': 293, 'pred_final_answer': '9861', 'true_final_answer': '7400'}
{'question_idx': 307, 'pred_final_answer': '12', 'true_final_answer': '4'}
{'question_idx': 312, 'pred_final_answer': '60', 'true_final_answer': '5'}
{'question_idx': 326, 'pred_final_answer': '750', 'true_final_answer': '500'}
{'question_idx': 331, 'pred_final_answer': '12', 'true_final_answer': '13'}
{'question_idx': 336, 'pred_final_answer': '155', 'true_final_answer': '230'}
{'question_idx': 342, 'pred_final_answer': '21', 'true_final_answer': '34'}
{'question_idx': 343, 'pred_final_answer': '11', 'true_final_answer': '2'}
{'question_idx': 353, 'pred_final_answer': '38', 'true_final_answer': '30'}
{'question_idx': 356, 'pred_final_answer': '54', 'true_final_answer': '27'}
{'question_idx': 358, 'pred_final_answer': '5', 'true_final_answer': '240'}
{'question_idx': 360, 'pred_final_answer': '11', 'true_final_answer': '32'}
{'question_idx': 361, 'pred_final_answer': '', 'true_final_answer': '7'}
{'question_idx': 364, 'pred_final_answer': '330', 'true_final_answer': '145'}
{'question_idx': 374, 'pred_final_answer': '318', 'true_final_answer': '319'}
{'question_idx': 378, 'pred_final_answer': '68', 'true_final_answer': '84'}
{'question_idx': 381, 'pred_final_answer': '10', 'true_final_answer': '109'}
{'question_idx': 382, 'pred_final_answer': '5', 'true_final_answer': '10'}
{'question_idx': 386, 'pred_final_answer': '347', 'true_final_answer': '251'}
{'question_idx': 399, 'pred_final_answer': '16', 'true_final_answer': '192'}
{'question_idx': 401, 'pred_final_answer': '19', 'true_final_answer': '18'}
{'question_idx': 403, 'pred_final_answer': '1', 'true_final_answer': '4'}
{'question_idx': 404, 'pred_final_answer': '541', 'true_final_answer': '500'}
{'question_idx': 407, 'pred_final_answer': '140', 'true_final_answer': '170'}
{'question_idx': 413, 'pred_final_answer': '100', 'true_final_answer': '150'}
{'question_idx': 414, 'pred_final_answer': '446', 'true_final_answer': '374'}
{'question_idx': 420, 'pred_final_answer': '88', 'true_final_answer': '172'}
{'question_idx': 433, 'pred_final_answer': '5', 'true_final_answer': '4'}
{'question_idx': 437, 'pred_final_answer': '6', 'true_final_answer': '75'}
{'question_idx': 439, 'pred_final_answer': '280', 'true_final_answer': '560'}
{'question_idx': 441, 'pred_final_answer': '365', 'true_final_answer': '110'}
{'question_idx': 443, 'pred_final_answer': '30', 'true_final_answer': '17'}
{'question_idx': 444, 'pred_final_answer': '-10000', 'true_final_answer': '70000'}
{'question_idx': 447, 'pred_final_answer': '19', 'true_final_answer': '16'}
{'question_idx': 448, 'pred_final_answer': '0', 'true_final_answer': '6'}
{'question_idx': 452, 'pred_final_answer': '40', 'true_final_answer': '36'}
{'question_idx': 461, 'pred_final_answer': '125', 'true_final_answer': '31'}
{'question_idx': 463, 'pred_final_answer': '7000', 'true_final_answer': '3000'}
{'question_idx': 471, 'pred_final_answer': '99077', 'true_final_answer': '95200'}
{'question_idx': 476, 'pred_final_answer': '35', 'true_final_answer': '30'}
{'question_idx': 483, 'pred_final_answer': '48', 'true_final_answer': '33'}
{'question_idx': 486, 'pred_final_answer': '13', 'true_final_answer': '6'}
{'question_idx': 488, 'pred_final_answer': '2', 'true_final_answer': '15'}
{'question_idx': 496, 'pred_final_answer': '249', 'true_final_answer': '324'}
{'question_idx': 498, 'pred_final_answer': '96', 'true_final_answer': '24'}
{'question_idx': 500, 'pred_final_answer': '0', 'true_final_answer': '8'}
{'question_idx': 506, 'pred_final_answer': '-15', 'true_final_answer': '15'}
{'question_idx': 515, 'pred_final_answer': '36', 'true_final_answer': '4'}
{'question_idx': 528, 'pred_final_answer': '34', 'true_final_answer': '25'}
{'question_idx': 536, 'pred_final_answer': '168', 'true_final_answer': '342'}
{'question_idx': 541, 'pred_final_answer': '60', 'true_final_answer': '15'}
{'question_idx': 542, 'pred_final_answer': '2', 'true_final_answer': '42'}
{'question_idx': 546, 'pred_final_answer': '4', 'true_final_answer': '2'}
{'question_idx': 558, 'pred_final_answer': '5', 'true_final_answer': '3'}
{'question_idx': 559, 'pred_final_answer': '32', 'true_final_answer': '452'}
{'question_idx': 566, 'pred_final_answer': '18', 'true_final_answer': '45'}
{'question_idx': 568, 'pred_final_answer': '4', 'true_final_answer': '6'}
{'question_idx': 586, 'pred_final_answer': '14', 'true_final_answer': '1'}
{'question_idx': 610, 'pred_final_answer': '72', 'true_final_answer': '18'}
{'question_idx': 611, 'pred_final_answer': '10', 'true_final_answer': '18'}
{'question_idx': 615, 'pred_final_answer': '35', 'true_final_answer': '95'}
{'question_idx': 626, 'pred_final_answer': '36', 'true_final_answer': '23'}
{'question_idx': 627, 'pred_final_answer': '1500', 'true_final_answer': '750'}
{'question_idx': 629, 'pred_final_answer': '6', 'true_final_answer': '3'}
{'question_idx': 633, 'pred_final_answer': '119', 'true_final_answer': '19'}
{'question_idx': 638, 'pred_final_answer': '45', 'true_final_answer': '50'}
{'question_idx': 645, 'pred_final_answer': '288', 'true_final_answer': '160'}
{'question_idx': 651, 'pred_final_answer': '3', 'true_final_answer': '8'}
{'question_idx': 653, 'pred_final_answer': '2200', 'true_final_answer': '1300'}
{'question_idx': 655, 'pred_final_answer': '30', 'true_final_answer': '18'}
{'question_idx': 663, 'pred_final_answer': '5600', 'true_final_answer': '4000'}
{'question_idx': 676, 'pred_final_answer': '93', 'true_final_answer': '98'}
{'question_idx': 680, 'pred_final_answer': '71', 'true_final_answer': '26'}
{'question_idx': 704, 'pred_final_answer': '85', 'true_final_answer': '48'}
{'question_idx': 710, 'pred_final_answer': '200', 'true_final_answer': '100'}
{'question_idx': 712, 'pred_final_answer': '240', 'true_final_answer': '200'}
{'question_idx': 720, 'pred_final_answer': '21', 'true_final_answer': '33'}
{'question_idx': 725, 'pred_final_answer': '50', 'true_final_answer': '55'}
{'question_idx': 728, 'pred_final_answer': '179', 'true_final_answer': '205'}
{'question_idx': 730, 'pred_final_answer': '-200', 'true_final_answer': '200'}
{'question_idx': 736, 'pred_final_answer': '105', 'true_final_answer': '75'}
{'question_idx': 738, 'pred_final_answer': '135', 'true_final_answer': '81'}
{'question_idx': 740, 'pred_final_answer': '150', 'true_final_answer': '100'}
{'question_idx': 743, 'pred_final_answer': '92', 'true_final_answer': '120'}
{'question_idx': 754, 'pred_final_answer': '840', 'true_final_answer': '9360'}
{'question_idx': 755, 'pred_final_answer': '-2', 'true_final_answer': '8'}
{'question_idx': 757, 'pred_final_answer': '107', 'true_final_answer': '89'}
{'question_idx': 769, 'pred_final_answer': '5', 'true_final_answer': '50'}
{'question_idx': 771, 'pred_final_answer': '-2', 'true_final_answer': '15'}
{'question_idx': 783, 'pred_final_answer': '448', 'true_final_answer': '284'}
{'question_idx': 790, 'pred_final_answer': '11', 'true_final_answer': '20'}
{'question_idx': 793, 'pred_final_answer': '4', 'true_final_answer': '2'}
{'question_idx': 799, 'pred_final_answer': '75', 'true_final_answer': '50'}
{'question_idx': 800, 'pred_final_answer': '5', 'true_final_answer': '160'}
{'question_idx': 801, 'pred_final_answer': '2', 'true_final_answer': '160'}
{'question_idx': 805, 'pred_final_answer': '7', 'true_final_answer': '5'}
{'question_idx': 812, 'pred_final_answer': '20', 'true_final_answer': '4'}
{'question_idx': 818, 'pred_final_answer': '470', 'true_final_answer': '320'}
{'question_idx': 820, 'pred_final_answer': '4', 'true_final_answer': '6'}
{'question_idx': 824, 'pred_final_answer': '101', 'true_final_answer': '79'}
{'question_idx': 836, 'pred_final_answer': '229', 'true_final_answer': '227'}
{'question_idx': 837, 'pred_final_answer': '1', 'true_final_answer': '82'}
{'question_idx': 840, 'pred_final_answer': '7', 'true_final_answer': '8'}
{'question_idx': 854, 'pred_final_answer': '6', 'true_final_answer': '10'}
{'question_idx': 861, 'pred_final_answer': '20', 'true_final_answer': '16'}
{'question_idx': 873, 'pred_final_answer': '1008', 'true_final_answer': '21'}
{'question_idx': 880, 'pred_final_answer': '21', 'true_final_answer': '48'}
{'question_idx': 883, 'pred_final_answer': '1', 'true_final_answer': '7'}
{'question_idx': 888, 'pred_final_answer': '660', 'true_final_answer': '11'}
{'question_idx': 892, 'pred_final_answer': '280', 'true_final_answer': '80'}
{'question_idx': 897, 'pred_final_answer': '21', 'true_final_answer': '19'}
{'question_idx': 899, 'pred_final_answer': '600', 'true_final_answer': '675'}
{'question_idx': 901, 'pred_final_answer': '5', 'true_final_answer': '70'}
{'question_idx': 904, 'pred_final_answer': '81', 'true_final_answer': '90'}
{'question_idx': 910, 'pred_final_answer': '17', 'true_final_answer': '88'}
{'question_idx': 914, 'pred_final_answer': '24', 'true_final_answer': '15'}
{'question_idx': 926, 'pred_final_answer': '4000', 'true_final_answer': '2050'}
{'question_idx': 931, 'pred_final_answer': '9', 'true_final_answer': '120'}
{'question_idx': 935, 'pred_final_answer': '1800', 'true_final_answer': '360'}
{'question_idx': 953, 'pred_final_answer': '240', 'true_final_answer': '15'}
{'question_idx': 964, 'pred_final_answer': '3120000', 'true_final_answer': '2880000'}
{'question_idx': 990, 'pred_final_answer': '125', 'true_final_answer': '53'}
{'question_idx': 992, 'pred_final_answer': '24', 'true_final_answer': '26'}
{'question_idx': 998, 'pred_final_answer': '47', 'true_final_answer': '189'}
{'question_idx': 999, 'pred_final_answer': '350', 'true_final_answer': '120'}
{'question_idx': 1003, 'pred_final_answer': '30', 'true_final_answer': '153'}
{'question_idx': 1011, 'pred_final_answer': '124', 'true_final_answer': '92'}
{'question_idx': 1022, 'pred_final_answer': '14', 'true_final_answer': '7'}
{'question_idx': 1023, 'pred_final_answer': '21', 'true_final_answer': '32'}
{'question_idx': 1026, 'pred_final_answer': '3', 'true_final_answer': '2'}
{'question_idx': 1028, 'pred_final_answer': '9', 'true_final_answer': '2'}
{'question_idx': 1029, 'pred_final_answer': '6', 'true_final_answer': '66'}
{'question_idx': 1031, 'pred_final_answer': '44', 'true_final_answer': '36'}
{'question_idx': 1050, 'pred_final_answer': '14', 'true_final_answer': '10'}
{'question_idx': 1052, 'pred_final_answer': '18', 'true_final_answer': '25'}
{'question_idx': 1054, 'pred_final_answer': '0', 'true_final_answer': '2'}
{'question_idx': 1060, 'pred_final_answer': '42', 'true_final_answer': '128'}
{'question_idx': 1066, 'pred_final_answer': '200', 'true_final_answer': '260'}
{'question_idx': 1073, 'pred_final_answer': '51', 'true_final_answer': '52'}
{'question_idx': 1077, 'pred_final_answer': '144', 'true_final_answer': '120'}
{'question_idx': 1085, 'pred_final_answer': '11', 'true_final_answer': '2'}
{'question_idx': 1087, 'pred_final_answer': '18', 'true_final_answer': '14'}
{'question_idx': 1091, 'pred_final_answer': '150', 'true_final_answer': '450'}
{'question_idx': 1092, 'pred_final_answer': '24', 'true_final_answer': '6'}
{'question_idx': 1104, 'pred_final_answer': '7', 'true_final_answer': '3'}
{'question_idx': 1106, 'pred_final_answer': '5', 'true_final_answer': '50'}
{'question_idx': 1110, 'pred_final_answer': '51', 'true_final_answer': '91'}
{'question_idx': 1115, 'pred_final_answer': '10', 'true_final_answer': '4'}
{'question_idx': 1118, 'pred_final_answer': '30', 'true_final_answer': '54'}
{'question_idx': 1119, 'pred_final_answer': '6', 'true_final_answer': '12'}
{'question_idx': 1120, 'pred_final_answer': '4', 'true_final_answer': '5'}
{'question_idx': 1122, 'pred_final_answer': '200000000', 'true_final_answer': '1450000'}
{'question_idx': 1126, 'pred_final_answer': '0', 'true_final_answer': '12'}
{'question_idx': 1128, 'pred_final_answer': '300', 'true_final_answer': '85'}
{'question_idx': 1130, 'pred_final_answer': '4', 'true_final_answer': '2'}
{'question_idx': 1132, 'pred_final_answer': '170', 'true_final_answer': '11050'}
{'question_idx': 1136, 'pred_final_answer': '21', 'true_final_answer': '23'}
{'question_idx': 1137, 'pred_final_answer': '0', 'true_final_answer': '2'}
{'question_idx': 1140, 'pred_final_answer': '16', 'true_final_answer': '7'}
{'question_idx': 1145, 'pred_final_answer': '13', 'true_final_answer': '26'}
{'question_idx': 1154, 'pred_final_answer': '5', 'true_final_answer': '12'}
{'question_idx': 1158, 'pred_final_answer': '139', 'true_final_answer': '138'}
{'question_idx': 1161, 'pred_final_answer': '1260', 'true_final_answer': '1800'}
{'question_idx': 1164, 'pred_final_answer': '115', 'true_final_answer': '105'}
{'question_idx': 1176, 'pred_final_answer': '94', 'true_final_answer': '104'}
{'question_idx': 1185, 'pred_final_answer': '420', 'true_final_answer': '320'}
{'question_idx': 1196, 'pred_final_answer': '10', 'true_final_answer': '70'}
{'question_idx': 1201, 'pred_final_answer': '150000', 'true_final_answer': '168000'}
{'question_idx': 1219, 'pred_final_answer': '12', 'true_final_answer': '11'}
{'question_idx': 1220, 'pred_final_answer': '10', 'true_final_answer': '50'}
{'question_idx': 1223, 'pred_final_answer': '3', 'true_final_answer': '20'}
{'question_idx': 1224, 'pred_final_answer': '22', 'true_final_answer': '18'}
{'question_idx': 1225, 'pred_final_answer': '30', 'true_final_answer': '40'}
{'question_idx': 1232, 'pred_final_answer': '46', 'true_final_answer': '70'}
{'question_idx': 1236, 'pred_final_answer': '18', 'true_final_answer': '24'}
{'question_idx': 1238, 'pred_final_answer': '22', 'true_final_answer': '17'}
{'question_idx': 1241, 'pred_final_answer': '27', 'true_final_answer': '60'}
{'question_idx': 1242, 'pred_final_answer': '26', 'true_final_answer': '14'}
{'question_idx': 1253, 'pred_final_answer': '5', 'true_final_answer': '11'}
{'question_idx': 1260, 'pred_final_answer': '20', 'true_final_answer': '12'}
{'question_idx': 1266, 'pred_final_answer': '1260', 'true_final_answer': '34'}
{'question_idx': 1270, 'pred_final_answer': '1200', 'true_final_answer': '10'}
{'question_idx': 1275, 'pred_final_answer': '10', 'true_final_answer': '20'}
{'question_idx': 1277, 'pred_final_answer': '900', 'true_final_answer': '842'}
{'question_idx': 1285, 'pred_final_answer': '240', 'true_final_answer': '150'}
{'question_idx': 1289, 'pred_final_answer': '39', 'true_final_answer': '59'}
{'question_idx': 1290, 'pred_final_answer': '-25', 'true_final_answer': '25'}
{'question_idx': 1295, 'pred_final_answer': '75000', 'true_final_answer': '25000'}
{'question_idx': 1297, 'pred_final_answer': '70', 'true_final_answer': '145'}
{'question_idx': 1302, 'pred_final_answer': '140', 'true_final_answer': '20'}
{'question_idx': 1303, 'pred_final_answer': '7', 'true_final_answer': '35'}
{'question_idx': 1307, 'pred_final_answer': '3', 'true_final_answer': '25'}
{'question_idx': 1317, 'pred_final_answer': '1728', 'true_final_answer': '1248'}
