{'question_idx': 1, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 135, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 136, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 137, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 138, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 139, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 142, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 144, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 145, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 148, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 152, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 157, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 160, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 161, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 164, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 165, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 167, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 168, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 174, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 176, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 181, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 182, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 183, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 185, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 188, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 190, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 193, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 197, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 198, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 199, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 201, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 202, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 204, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 206, 'pred_final_answer': 'D', 'true_final_answer': 'A'}
{'question_idx': 208, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 211, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 214, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 215, 'pred_final_answer': 'No answer', 'true_final_answer': 'D'}
{'question_idx': 216, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 217, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 221, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 222, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 223, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 224, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 225, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 227, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 228, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 230, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 231, 'pred_final_answer': 'No answer', 'true_final_answer': 'A'}
{'question_idx': 232, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 233, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 234, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 235, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 239, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 241, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 242, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 243, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 244, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 245, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 248, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 250, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
