{'question_idx': 1, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 68, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 70, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 71, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 72, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 73, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 74, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 75, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 76, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 77, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 78, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 89, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 93, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 95, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 96, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 99, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 103, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 104, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 109, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 110, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 112, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 113, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 114, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 115, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 116, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 118, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 119, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 121, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 123, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 128, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 133, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 135, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 136, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 139, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 142, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 144, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 145, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 147, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 156, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 159, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 161, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 162, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 164, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 165, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 167, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 168, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 173, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 176, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 182, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 183, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 185, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 187, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 188, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 190, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 192, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 193, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 195, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 197, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 199, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 201, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 202, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 204, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 205, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 206, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 208, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 209, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 221, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 222, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 225, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 228, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 230, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 231, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 232, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 235, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 239, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 242, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 243, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 244, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 245, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 247, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 248, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 250, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 251, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 252, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
