{'prompt': "You are an expert at arithmetic reasoning and are willing to solve algebraic word problems. Select the correct answer from the given options. If none of the options are correct, generate 'None of the above'.\n\nQ: {question}\nA: Let's think step by step."}
{'question_idx': 71, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 76, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 77, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 79, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 80, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 81, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 82, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 84, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 85, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 86, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 87, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 88, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 90, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 91, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 92, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 93, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 94, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 98, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 99, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 101, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 104, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 108, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 114, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 115, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 116, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 118, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 120, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 127, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 129, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 132, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 133, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 135, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 136, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 138, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 139, 'pred_final_answer': 'No answer', 'true_final_answer': 'E'}
{'question_idx': 141, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 142, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 146, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 147, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 148, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 149, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 158, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 159, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 161, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 163, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 164, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 168, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 170, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 172, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 175, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 176, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 178, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 179, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 181, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 182, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 183, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 184, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 185, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 188, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 189, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 190, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 192, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 193, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 194, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 196, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 197, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 198, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 199, 'pred_final_answer': 'D', 'true_final_answer': 'A'}
{'question_idx': 204, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 205, 'pred_final_answer': 'No answer', 'true_final_answer': 'A'}
{'question_idx': 207, 'pred_final_answer': 'D', 'true_final_answer': 'A'}
{'question_idx': 211, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 214, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 216, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 218, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 223, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 225, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 231, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 232, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 239, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 241, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 242, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 243, 'pred_final_answer': 'D', 'true_final_answer': 'A'}
{'question_idx': 244, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 245, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 247, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 248, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 250, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 251, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 252, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 253, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 255, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 259, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 262, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 268, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 269, 'pred_final_answer': 'No answer', 'true_final_answer': 'B'}
{'question_idx': 272, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 281, 'pred_final_answer': 'D', 'true_final_answer': 'A'}
{'question_idx': 283, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 287, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 289, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 291, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 300, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 303, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 304, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 305, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 306, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 310, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 313, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 316, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 317, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 318, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 321, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 323, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 325, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 328, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 329, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 331, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 333, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 334, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 337, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 338, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 340, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 341, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 342, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 345, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 349, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 352, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 353, 'pred_final_answer': 'D', 'true_final_answer': 'A'}
{'question_idx': 356, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 358, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 361, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 362, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 370, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 371, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 373, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 375, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 376, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 377, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 380, 'pred_final_answer': 'No answer', 'true_final_answer': 'D'}
{'question_idx': 382, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 387, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 391, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 392, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 394, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 400, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 405, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 406, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 407, 'pred_final_answer': 'No answer', 'true_final_answer': 'D'}
{'question_idx': 409, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 411, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 412, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 413, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 417, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 419, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 424, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 425, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 428, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 429, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 430, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 431, 'pred_final_answer': 'No answer', 'true_final_answer': 'A'}
{'question_idx': 432, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 433, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 434, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 435, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 437, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 439, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 443, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 444, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 445, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 447, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 448, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 450, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 451, 'pred_final_answer': 'D', 'true_final_answer': 'A'}
{'question_idx': 455, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 460, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 462, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 463, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 464, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 465, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 467, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 474, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 476, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 478, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 479, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 481, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 484, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 486, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 489, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 490, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 491, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 492, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 493, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 494, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 498, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 499, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 501, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 503, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 506, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 507, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 508, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 510, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 511, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 512, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 514, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 516, 'pred_final_answer': 'D', 'true_final_answer': 'A'}
{'question_idx': 519, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 521, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 522, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 526, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 527, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 528, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 529, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 530, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 532, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 535, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 536, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 539, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 540, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 544, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 550, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 551, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 556, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 558, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 559, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 561, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 562, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 563, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 564, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 566, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 569, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 570, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 573, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 574, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 579, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 580, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 581, 'pred_final_answer': 'No answer', 'true_final_answer': 'B'}
{'question_idx': 583, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 584, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 585, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 587, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 588, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 590, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 591, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 592, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 593, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 595, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 596, 'pred_final_answer': 'No answer', 'true_final_answer': 'B'}
{'question_idx': 598, 'pred_final_answer': 'No answer', 'true_final_answer': 'B'}
{'question_idx': 600, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 605, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 606, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 607, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 611, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 613, 'pred_final_answer': 'No answer', 'true_final_answer': 'E'}
{'question_idx': 621, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 624, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 642, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 643, 'pred_final_answer': 'No answer', 'true_final_answer': 'D'}
{'question_idx': 648, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 650, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 654, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 658, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 663, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 665, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 679, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 680, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 681, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 684, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 687, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 690, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 696, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 699, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 700, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 703, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 704, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 706, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 711, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 712, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 713, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 715, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 716, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 717, 'pred_final_answer': 'D', 'true_final_answer': 'A'}
{'question_idx': 721, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 722, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 726, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 727, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 728, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 734, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 735, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 738, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 741, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 745, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 746, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 749, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 750, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 754, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 755, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 758, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 760, 'pred_final_answer': 'No answer', 'true_final_answer': 'E'}
{'question_idx': 762, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 764, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 765, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 768, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 771, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 773, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 777, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 780, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 784, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 785, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 786, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 787, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 793, 'pred_final_answer': 'No answer', 'true_final_answer': 'A'}
{'question_idx': 795, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 799, 'pred_final_answer': 'No answer', 'true_final_answer': 'E'}
{'question_idx': 803, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 804, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 806, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 807, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 809, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 810, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 811, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 812, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 813, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 814, 'pred_final_answer': 'D', 'true_final_answer': 'A'}
{'question_idx': 815, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
