{'question_idx': 1, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 227, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 228, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 230, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 232, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 234, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 239, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 241, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 243, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 244, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 247, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 248, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 250, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 253, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
