{'question_idx': 3, 'pred_final_answer': '9', 'true_final_answer': '25'}
{'question_idx': 403, 'pred_final_answer': '2', 'true_final_answer': '4'}
{'question_idx': 404, 'pred_final_answer': '541', 'true_final_answer': '500'}
{'question_idx': 407, 'pred_final_answer': '140', 'true_final_answer': '170'}
{'question_idx': 409, 'pred_final_answer': '480', 'true_final_answer': '40'}
{'question_idx': 413, 'pred_final_answer': '100', 'true_final_answer': '150'}
{'question_idx': 414, 'pred_final_answer': '446', 'true_final_answer': '374'}
{'question_idx': 418, 'pred_final_answer': '8', 'true_final_answer': '20'}
{'question_idx': 420, 'pred_final_answer': '88', 'true_final_answer': '172'}
{'question_idx': 424, 'pred_final_answer': '5', 'true_final_answer': '4'}
{'question_idx': 433, 'pred_final_answer': '6', 'true_final_answer': '4'}
{'question_idx': 435, 'pred_final_answer': '2', 'true_final_answer': '11'}
{'question_idx': 437, 'pred_final_answer': '6', 'true_final_answer': '75'}
{'question_idx': 439, 'pred_final_answer': '280', 'true_final_answer': '560'}
{'question_idx': 443, 'pred_final_answer': '5', 'true_final_answer': '17'}
{'question_idx': 444, 'pred_final_answer': '10000', 'true_final_answer': '70000'}
{'question_idx': 447, 'pred_final_answer': '21', 'true_final_answer': '16'}
{'question_idx': 452, 'pred_final_answer': '48', 'true_final_answer': '36'}
{'question_idx': 459, 'pred_final_answer': '21', 'true_final_answer': '3'}
{'question_idx': 461, 'pred_final_answer': '34', 'true_final_answer': '31'}
{'question_idx': 463, 'pred_final_answer': '4000', 'true_final_answer': '3000'}
{'question_idx': 469, 'pred_final_answer': '25', 'true_final_answer': '31'}
{'question_idx': 471, 'pred_final_answer': '60000', 'true_final_answer': '95200'}
{'question_idx': 476, 'pred_final_answer': '18', 'true_final_answer': '30'}
{'question_idx': 480, 'pred_final_answer': '3', 'true_final_answer': '291'}
{'question_idx': 481, 'pred_final_answer': '480', 'true_final_answer': '160'}
{'question_idx': 483, 'pred_final_answer': '36', 'true_final_answer': '33'}
{'question_idx': 485, 'pred_final_answer': '3', 'true_final_answer': '12'}
{'question_idx': 486, 'pred_final_answer': '8', 'true_final_answer': '6'}
{'question_idx': 488, 'pred_final_answer': '2', 'true_final_answer': '15'}
{'question_idx': 492, 'pred_final_answer': '1540', 'true_final_answer': '2640'}
{'question_idx': 493, 'pred_final_answer': '100', 'true_final_answer': '50'}
{'question_idx': 496, 'pred_final_answer': '474', 'true_final_answer': '324'}
{'question_idx': 498, 'pred_final_answer': '76', 'true_final_answer': '24'}
{'question_idx': 505, 'pred_final_answer': '12', 'true_final_answer': '5'}
{'question_idx': 506, 'pred_final_answer': '-15', 'true_final_answer': '15'}
{'question_idx': 509, 'pred_final_answer': '33', 'true_final_answer': '40'}
{'question_idx': 514, 'pred_final_answer': '500', 'true_final_answer': '385000'}
{'question_idx': 518, 'pred_final_answer': '16', 'true_final_answer': '12'}
{'question_idx': 526, 'pred_final_answer': '12', 'true_final_answer': '16'}
{'question_idx': 528, 'pred_final_answer': '15', 'true_final_answer': '25'}
{'question_idx': 529, 'pred_final_answer': '100', 'true_final_answer': '160'}
{'question_idx': 536, 'pred_final_answer': '168', 'true_final_answer': '342'}
{'question_idx': 537, 'pred_final_answer': '8', 'true_final_answer': '9'}
{'question_idx': 541, 'pred_final_answer': '60', 'true_final_answer': '15'}
{'question_idx': 559, 'pred_final_answer': '498', 'true_final_answer': '452'}
{'question_idx': 560, 'pred_final_answer': '26', 'true_final_answer': '39'}
{'question_idx': 562, 'pred_final_answer': '35', 'true_final_answer': '91'}
{'question_idx': 566, 'pred_final_answer': '18', 'true_final_answer': '45'}
{'question_idx': 568, 'pred_final_answer': '4', 'true_final_answer': '6'}
{'question_idx': 578, 'pred_final_answer': '-277', 'true_final_answer': '163'}
{'question_idx': 591, 'pred_final_answer': '2', 'true_final_answer': '1'}
{'question_idx': 597, 'pred_final_answer': '124', 'true_final_answer': '56'}
{'question_idx': 611, 'pred_final_answer': '10', 'true_final_answer': '18'}
{'question_idx': 621, 'pred_final_answer': '150', 'true_final_answer': '300'}
{'question_idx': 626, 'pred_final_answer': '44', 'true_final_answer': '23'}
{'question_idx': 629, 'pred_final_answer': '6', 'true_final_answer': '3'}
{'question_idx': 630, 'pred_final_answer': '50', 'true_final_answer': '90'}
{'question_idx': 633, 'pred_final_answer': '200', 'true_final_answer': '19'}
{'question_idx': 634, 'pred_final_answer': '585', 'true_final_answer': '540'}
{'question_idx': 637, 'pred_final_answer': '4', 'true_final_answer': '20'}
{'question_idx': 638, 'pred_final_answer': '32', 'true_final_answer': '50'}
{'question_idx': 645, 'pred_final_answer': '288', 'true_final_answer': '160'}
{'question_idx': 653, 'pred_final_answer': '2200', 'true_final_answer': '1300'}
{'question_idx': 654, 'pred_final_answer': '14', 'true_final_answer': '10'}
{'question_idx': 655, 'pred_final_answer': '15', 'true_final_answer': '18'}
{'question_idx': 663, 'pred_final_answer': '2000', 'true_final_answer': '4000'}
{'question_idx': 665, 'pred_final_answer': '50', 'true_final_answer': '10'}
{'question_idx': 676, 'pred_final_answer': '93', 'true_final_answer': '98'}
{'question_idx': 680, 'pred_final_answer': '62', 'true_final_answer': '26'}
{'question_idx': 684, 'pred_final_answer': '300', 'true_final_answer': '240'}
{'question_idx': 707, 'pred_final_answer': '24', 'true_final_answer': '17'}
{'question_idx': 710, 'pred_final_answer': '200', 'true_final_answer': '100'}
{'question_idx': 712, 'pred_final_answer': '240', 'true_final_answer': '200'}
{'question_idx': 720, 'pred_final_answer': '25', 'true_final_answer': '33'}
{'question_idx': 725, 'pred_final_answer': '50', 'true_final_answer': '55'}
{'question_idx': 728, 'pred_final_answer': '179', 'true_final_answer': '205'}
{'question_idx': 730, 'pred_final_answer': '2200', 'true_final_answer': '200'}
{'question_idx': 738, 'pred_final_answer': '135', 'true_final_answer': '81'}
{'question_idx': 740, 'pred_final_answer': '150', 'true_final_answer': '100'}
{'question_idx': 752, 'pred_final_answer': '491', 'true_final_answer': '1509'}
{'question_idx': 754, 'pred_final_answer': '11026', 'true_final_answer': '9360'}
{'question_idx': 755, 'pred_final_answer': '13', 'true_final_answer': '8'}
{'question_idx': 757, 'pred_final_answer': '110', 'true_final_answer': '89'}
{'question_idx': 768, 'pred_final_answer': '25', 'true_final_answer': '50'}
{'question_idx': 788, 'pred_final_answer': '6', 'true_final_answer': '144'}
{'question_idx': 799, 'pred_final_answer': '1125', 'true_final_answer': '50'}
{'question_idx': 801, 'pred_final_answer': '2', 'true_final_answer': '160'}
{'question_idx': 808, 'pred_final_answer': '47', 'true_final_answer': '40'}
{'question_idx': 815, 'pred_final_answer': '932', 'true_final_answer': '400'}
{'question_idx': 816, 'pred_final_answer': '700', 'true_final_answer': '70'}
{'question_idx': 820, 'pred_final_answer': '12', 'true_final_answer': '6'}
{'question_idx': 824, 'pred_final_answer': '96', 'true_final_answer': '79'}
{'question_idx': 840, 'pred_final_answer': '12', 'true_final_answer': '8'}
{'question_idx': 855, 'pred_final_answer': '5', 'true_final_answer': '9'}
{'question_idx': 861, 'pred_final_answer': '20', 'true_final_answer': '16'}
{'question_idx': 870, 'pred_final_answer': '39', 'true_final_answer': '78'}
{'question_idx': 873, 'pred_final_answer': '756', 'true_final_answer': '21'}
{'question_idx': 878, 'pred_final_answer': '3280', 'true_final_answer': '5600'}
{'question_idx': 880, 'pred_final_answer': '9', 'true_final_answer': '48'}
{'question_idx': 883, 'pred_final_answer': '1', 'true_final_answer': '7'}
{'question_idx': 889, 'pred_final_answer': '1', 'true_final_answer': '200'}
{'question_idx': 892, 'pred_final_answer': '280', 'true_final_answer': '80'}
{'question_idx': 897, 'pred_final_answer': '7', 'true_final_answer': '19'}
{'question_idx': 899, 'pred_final_answer': '600', 'true_final_answer': '675'}
{'question_idx': 900, 'pred_final_answer': '65', 'true_final_answer': '55'}
{'question_idx': 906, 'pred_final_answer': '230', 'true_final_answer': '700'}
{'question_idx': 908, 'pred_final_answer': '239', 'true_final_answer': '240'}
{'question_idx': 913, 'pred_final_answer': '450', 'true_final_answer': '120'}
{'question_idx': 914, 'pred_final_answer': '24', 'true_final_answer': '15'}
{'question_idx': 916, 'pred_final_answer': '10', 'true_final_answer': '17'}
{'question_idx': 920, 'pred_final_answer': '44', 'true_final_answer': '60'}
{'question_idx': 930, 'pred_final_answer': '84', 'true_final_answer': '60'}
{'question_idx': 935, 'pred_final_answer': '1800', 'true_final_answer': '360'}
{'question_idx': 949, 'pred_final_answer': '2078', 'true_final_answer': '1198'}
{'question_idx': 950, 'pred_final_answer': '58', 'true_final_answer': '73'}
{'question_idx': 958, 'pred_final_answer': '12', 'true_final_answer': '36'}
{'question_idx': 964, 'pred_final_answer': '3120000', 'true_final_answer': '2880000'}
{'question_idx': 975, 'pred_final_answer': '150', 'true_final_answer': '300'}
{'question_idx': 977, 'pred_final_answer': '22', 'true_final_answer': '8'}
{'question_idx': 997, 'pred_final_answer': '6', 'true_final_answer': '12'}
{'question_idx': 998, 'pred_final_answer': '47', 'true_final_answer': '189'}
{'question_idx': 1002, 'pred_final_answer': '120', 'true_final_answer': '140'}
{'question_idx': 1011, 'pred_final_answer': '36', 'true_final_answer': '92'}
{'question_idx': 1022, 'pred_final_answer': '14', 'true_final_answer': '7'}
{'question_idx': 1028, 'pred_final_answer': '3', 'true_final_answer': '2'}
{'question_idx': 1031, 'pred_final_answer': '44', 'true_final_answer': '36'}
{'question_idx': 1043, 'pred_final_answer': '14', 'true_final_answer': '21'}
{'question_idx': 1046, 'pred_final_answer': '1', 'true_final_answer': '8'}
{'question_idx': 1051, 'pred_final_answer': '30', 'true_final_answer': '10'}
{'question_idx': 1052, 'pred_final_answer': '22', 'true_final_answer': '25'}
{'question_idx': 1054, 'pred_final_answer': '0', 'true_final_answer': '2'}
{'question_idx': 1060, 'pred_final_answer': '42', 'true_final_answer': '128'}
{'question_idx': 1062, 'pred_final_answer': '22', 'true_final_answer': '19'}
{'question_idx': 1073, 'pred_final_answer': '51', 'true_final_answer': '52'}
{'question_idx': 1080, 'pred_final_answer': '0', 'true_final_answer': '9'}
{'question_idx': 1083, 'pred_final_answer': '1080', 'true_final_answer': '1110'}
{'question_idx': 1085, 'pred_final_answer': '13', 'true_final_answer': '2'}
{'question_idx': 1087, 'pred_final_answer': '18', 'true_final_answer': '14'}
{'question_idx': 1092, 'pred_final_answer': '24', 'true_final_answer': '6'}
{'question_idx': 1104, 'pred_final_answer': '7', 'true_final_answer': '3'}
{'question_idx': 1106, 'pred_final_answer': '95', 'true_final_answer': '50'}
{'question_idx': 1110, 'pred_final_answer': '51', 'true_final_answer': '91'}
{'question_idx': 1115, 'pred_final_answer': '1', 'true_final_answer': '4'}
{'question_idx': 1118, 'pred_final_answer': '30', 'true_final_answer': '54'}
{'question_idx': 1122, 'pred_final_answer': '1842177', 'true_final_answer': '1450000'}
{'question_idx': 1125, 'pred_final_answer': '300000', 'true_final_answer': '330000'}
{'question_idx': 1128, 'pred_final_answer': '113', 'true_final_answer': '85'}
{'question_idx': 1140, 'pred_final_answer': '14', 'true_final_answer': '7'}
{'question_idx': 1141, 'pred_final_answer': '30', 'true_final_answer': '75'}
{'question_idx': 1158, 'pred_final_answer': '139', 'true_final_answer': '138'}
{'question_idx': 1161, 'pred_final_answer': '1260', 'true_final_answer': '1800'}
{'question_idx': 1164, 'pred_final_answer': '115', 'true_final_answer': '105'}
{'question_idx': 1183, 'pred_final_answer': '11', 'true_final_answer': '9'}
{'question_idx': 1185, 'pred_final_answer': '400', 'true_final_answer': '320'}
{'question_idx': 1198, 'pred_final_answer': '3', 'true_final_answer': '11'}
{'question_idx': 1201, 'pred_final_answer': '42000', 'true_final_answer': '168000'}
{'question_idx': 1219, 'pred_final_answer': '9', 'true_final_answer': '11'}
{'question_idx': 1232, 'pred_final_answer': '46', 'true_final_answer': '70'}
{'question_idx': 1236, 'pred_final_answer': '18', 'true_final_answer': '24'}
{'question_idx': 1241, 'pred_final_answer': '20', 'true_final_answer': '60'}
{'question_idx': 1242, 'pred_final_answer': '-26', 'true_final_answer': '14'}
{'question_idx': 1247, 'pred_final_answer': '1600', 'true_final_answer': '350'}
{'question_idx': 1253, 'pred_final_answer': '5', 'true_final_answer': '11'}
{'question_idx': 1254, 'pred_final_answer': '224', 'true_final_answer': '112'}
{'question_idx': 1261, 'pred_final_answer': '96', 'true_final_answer': '240'}
{'question_idx': 1270, 'pred_final_answer': '1200', 'true_final_answer': '10'}
{'question_idx': 1276, 'pred_final_answer': '4', 'true_final_answer': '3'}
{'question_idx': 1285, 'pred_final_answer': '240', 'true_final_answer': '150'}
{'question_idx': 1290, 'pred_final_answer': '195', 'true_final_answer': '25'}
{'question_idx': 1295, 'pred_final_answer': '68005', 'true_final_answer': '25000'}
{'question_idx': 1297, 'pred_final_answer': '70', 'true_final_answer': '145'}
{'question_idx': 1301, 'pred_final_answer': '8', 'true_final_answer': '6'}
{'question_idx': 1302, 'pred_final_answer': '140', 'true_final_answer': '20'}
{'question_idx': 1303, 'pred_final_answer': '21', 'true_final_answer': '35'}
{'question_idx': 1307, 'pred_final_answer': '67', 'true_final_answer': '25'}
{'question_idx': 1316, 'pred_final_answer': '70000', 'true_final_answer': '10000'}
{'question_idx': 1317, 'pred_final_answer': '768', 'true_final_answer': '1248'}
