{'prompt': "You are an expert at arithmetic reasoning and are willing to solve algebraic word problems. Select the correct answer from the given options. If none of the options are correct, generate 'None of the above'. To generate the answer follow the format of the examples below:\n\nQ: Two trains each 250 m in length are running on the same parallel lines in opposite directions with the speed of 80 kmph and 70 kmph respectively. In what time will they cross each other completely? Answer Choices: (A) 19 sec (B) 22 sec (C) 12 sec (D) 42 sec (E) 32 sec\n\nA: Let's think step by step.\nExplanation:\nD = 250 m + 250 m = 500 m\nRS = 80 + 70 = 150 * 5/18 = 125/3\nT = 500 * 3/125 = 12 sec\nAnswer: Option C The answer is C.\n\nQ: A train is 320 meter long is running at a speed of 45 km/hour. In what time will it pass a bridge of 140 meter length? Answer Choices: (A) 11 seconds (B) 38 seconds (C) 40 seconds (D) 88 seconds (E) 36.8 seconds\n\nA: Let's think step by step.\nSpeed = 45 Km/hr = 45*(5/18) m/sec = 25/2 m/sec\nTotal distance = 320+140 = 460 meter\nTime = Distance/speed\n= 460 * (2/25) = 36.8 seconds\nAnswer: E The answer is E.\n\nQ: Two trains travel in opposite directions at 36 kmph and 45 kmph and a man sitting in slower train passes the faster train in 4 seconds. The length of the faster train is Answer Choices: (A) 80 m (B) 100 m (C) 90 m (D) 180 m (E) None\n\nA: Let's think step by step.\nSolution\nRelative Speed\t= (36 + 45) km/hr\n= (81 x 5/18) m/sec\n= (45/2) m/sec\nLength of the train\t= (45 / 2 x 4) m\n= 90 m.\nAnswer C The answer is C.\n\nQ: A train is 360 meter long is running at a speed of 50 km/hour. In what time will it pass a bridge of 140 meter length. Answer Choices: (A) 26 seconds (B) 36 seconds (C) 46 seconds (D) 56 seconds (E) None of these\n\nA: Let's think step by step.\nExplanation:\nSpeed = 50 Km/hr = 50*(5/18) m/sec\n= 125/9 m/sec\nTotal distance = 360+140 = 500 meter\nTime = Distance/speed\n=500/125/9 = 36 seconds\nAnswer: B The answer is B.\n\nQ: {question}\nA: Let's think step by step."}
{'question_idx': 73, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 89, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 93, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 94, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 95, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 99, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 100, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 109, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 110, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 114, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 115, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 116, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 118, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 119, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 123, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 126, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 127, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 128, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 130, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 134, 'pred_final_answer': 'B', 'true_final_answer': 'D'}
{'question_idx': 135, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 136, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 139, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 142, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 144, 'pred_final_answer': 'C', 'true_final_answer': 'A'}
{'question_idx': 145, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 147, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 151, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 157, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 159, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 160, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 162, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 163, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 164, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 165, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 169, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 173, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 176, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 178, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 184, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 185, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 190, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 193, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 196, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 198, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 199, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 201, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 202, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 204, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 205, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 207, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 208, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 214, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 215, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 216, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 221, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 222, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 223, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 225, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 228, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 230, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 231, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 234, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 235, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 236, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 239, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 242, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 243, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 245, 'pred_final_answer': 'D', 'true_final_answer': 'B'}
{'question_idx': 247, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 250, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 251, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 253, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
