{'question_idx': 6, 'pred_final_answer': 'D', 'true_final_answer': 'E'}
{'question_idx': 110, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 113, 'pred_final_answer': 'C', 'true_final_answer': 'D'}
{'question_idx': 114, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 116, 'pred_final_answer': 'No answer', 'true_final_answer': 'A'}
{'question_idx': 118, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 119, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 121, 'pred_final_answer': 'D', 'true_final_answer': 'A'}
{'question_idx': 126, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 128, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 130, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 133, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 134, 'pred_final_answer': 'A', 'true_final_answer': 'D'}
{'question_idx': 135, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 136, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 137, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 139, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 144, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 145, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 147, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 151, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 156, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 159, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 161, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 162, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 164, 'pred_final_answer': 'E', 'true_final_answer': 'B'}
{'question_idx': 168, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 176, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 178, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 182, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 184, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 188, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 190, 'pred_final_answer': '', 'true_final_answer': 'D'}
{'question_idx': 192, 'pred_final_answer': 'C', 'true_final_answer': 'E'}
{'question_idx': 193, 'pred_final_answer': 'B', 'true_final_answer': 'C'}
{'question_idx': 198, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
{'question_idx': 199, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 201, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 202, 'pred_final_answer': '', 'true_final_answer': 'C'}
{'question_idx': 204, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 206, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 214, 'pred_final_answer': 'A', 'true_final_answer': 'C'}
{'question_idx': 217, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 221, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 222, 'pred_final_answer': 'A', 'true_final_answer': 'E'}
{'question_idx': 224, 'pred_final_answer': '', 'true_final_answer': 'A'}
{'question_idx': 225, 'pred_final_answer': 'E', 'true_final_answer': 'D'}
{'question_idx': 228, 'pred_final_answer': '', 'true_final_answer': 'B'}
{'question_idx': 230, 'pred_final_answer': '', 'true_final_answer': 'E'}
{'question_idx': 231, 'pred_final_answer': 'E', 'true_final_answer': 'A'}
{'question_idx': 232, 'pred_final_answer': 'B', 'true_final_answer': 'E'}
{'question_idx': 235, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 239, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 243, 'pred_final_answer': 'D', 'true_final_answer': 'C'}
{'question_idx': 245, 'pred_final_answer': 'C', 'true_final_answer': 'B'}
{'question_idx': 247, 'pred_final_answer': 'E', 'true_final_answer': 'C'}
{'question_idx': 248, 'pred_final_answer': 'B', 'true_final_answer': 'A'}
{'question_idx': 250, 'pred_final_answer': 'A', 'true_final_answer': 'B'}
